t,S,I,R
46,80635697.33333333,20312.833333333332,3143989.8333333335
47,80615757.33333333,19940.0,3164302.6666666665
48,80595722.33333333,20035.0,3184242.6666666665
49,80575234.0,20488.333333333332,3204277.6666666665
50,80554763.5,20470.5,3224766.0
51,80533923.33333333,20840.166666666668,3245236.5
52,80512565.5,21357.833333333332,3266076.6666666665
53,80492309.5,20256.0,3287434.5
54,80473092.66666667,19216.833333333332,3307690.5
55,80454556.66666667,18536.0,3326907.3333333335
56,80436249.66666667,18307.0,3345443.3333333335
57,80418514.83333333,17734.833333333332,3363750.3333333335
58,80400926.33333333,17588.5,3381485.1666666665
59,80383068.0,17858.333333333332,3399073.6666666665
60,80366377.33333333,16690.666666666668,3416932.0
61,80350689.66666667,15687.666666666666,3433622.6666666665
62,80335656.66666667,15033.0,3449310.3333333335
63,80320908.66666667,14748.0,3464343.3333333335
64,80306730.16666667,14178.5,3479091.3333333335
65,80292830.16666667,13900.0,3493269.8333333335
66,80278828.16666667,14002.0,3507169.8333333335
67,80265793.83333333,13034.333333333334,3521171.8333333335
68,80253756.16666667,12037.666666666666,3534206.1666666665
69,80242383.83333333,11372.333333333334,3546243.8333333335
70,80231350.66666667,11033.166666666666,3557616.1666666665
71,80221116.66666667,10234.0,3568649.3333333335
72,80211432.5,9684.166666666666,3578883.3333333335
73,80201758.0,9674.5,3588567.5
74,80192857.83333333,8900.166666666666,3598242.0
75,80184763.16666667,8094.666666666667,3607142.1666666665
76,80177214.33333333,7548.833333333333,3615236.8333333335
77,80169722.83333333,7491.5,3622785.6666666665
78,80162435.66666667,7287.166666666667,3630277.1666666665
79,80155455.66666667,6980.0,3637564.3333333335
80,80148599.83333333,6855.833333333333,3644544.3333333335
81,80142406.66666667,6193.166666666667,3651400.1666666665
82,80137073.66666667,5333.0,3657593.3333333335
83,80132362.16666667,4711.5,3662926.3333333335
84,80127907.66666667,4454.5,3667637.8333333335
85,80123642.16666667,4265.5,3672092.3333333335
86,80119507.66666667,4134.5,3676357.8333333335
87,80115327.33333333,4180.333333333333,3680492.3333333335
88,80111322.33333333,4005.0,3684672.6666666665
89,80107535.83333333,3786.5,3688677.6666666665
90,80103981.83333333,3554.0,3692464.1666666665
91,80100672.0,3309.8333333333335,3696018.1666666665
92,80097638.16666667,3033.8333333333335,3699328.0
93,80094794.33333333,2843.8333333333335,3702361.8333333335
94,80091979.66666667,2814.6666666666665,3705205.6666666665
95,80089379.66666667,2600.0,3708020.3333333335
96,80087047.66666667,2332.0,3710620.3333333335
97,80084888.33333333,2159.3333333333335,3712952.3333333335
98,80082820.33333333,2068.0,3715111.6666666665
99,80080810.83333333,2009.5,3717179.6666666665
100,80078901.66666667,1909.1666666666667,3719189.1666666665
101,80077052.33333333,1849.3333333333333,3721098.3333333335
102,80075401.5,1650.8333333333333,3722947.6666666665
103,80073967.33333333,1434.1666666666667,3724598.5
104,80072669.16666667,1298.1666666666667,3726032.6666666665
105,80071486.83333333,1182.3333333333333,3727330.8333333335
106,80070386.83333333,1100.0,3728513.1666666665
107,80069340.0,1046.8333333333333,3729613.1666666665
108,80068317.5,1022.5,3730660.0
109,80067394.83333333,922.6666666666666,3731682.5
110,80066543.66666667,851.1666666666666,3732605.1666666665
111,80065740.0,803.6666666666666,3733456.3333333335
112,80064969.66666667,770.3333333333334,3734260.0
113,80064230.83333333,738.8333333333334,3735030.3333333335
114,80063494.33333333,736.5,3735769.1666666665
115,80062747.16666667,747.1666666666666,3736505.6666666665
116,80062055.83333333,691.3333333333334,3737252.8333333335
117,80061387.5,668.3333333333334,3737944.1666666665
118,80060725.0,662.5,3738612.5
119,80060041.66666667,683.3333333333334,3739275.0
120,80059353.16666667,688.5,3739958.3333333335
121,80058644.33333333,708.8333333333334,3740646.8333333335
