t,S,I,R
91.0,145.9973500775026,56.08190796509128,797.9207419574061
92.0,144.79261038013695,53.79839744318437,801.4089921766787
93.0,143.64636850378767,51.59871860058037,804.754912895632
94.0,142.55561070176418,49.48063278982499,807.9637565084108
95.0,141.51749040009162,47.44187717501415,811.0406324248942
96.0,140.52931829075433,45.48017581565085,813.9905058935949
97.0,139.58855301973742,43.59324949241138,816.8181974878512
98.0,138.6927924389998,41.7788243821286,819.5283831788718
99.0,137.8397653919387,40.03463968228934,822.1255949257719
100.0,137.02732400258319,38.35845427850876,824.614221718908
101.0,136.25343643963683,36.74805254184141,826.9985110185218
102.0,135.5161801275096,35.201249336453884,829.2825705360365
103.0,134.81373537760598,33.71589431214102,831.470370310253
104.0,134.14437941431618,32.28987555043449,833.5657450352494
105.0,133.5064807713886,30.92112262763706,835.5723966009743
106.0,132.89849403559586,29.60760915301993,837.4938968113843
107.0,132.31895491583936,28.347354835642477,839.3336902485181
108.0,131.76647561705448,27.138427128786873,841.0950972541585
109.0,131.23974049946636,25.97894249683554,842.7813170036982
110.0,130.73750200489272,24.867067345547053,844.3954306495602
111.0,130.2585768329057,23.801018653092253,845.940404514002
112.0,129.8018423507189,22.779064335884968,847.419093313396
113.0,129.36623322168526,21.799523380165436,848.8342433981494
114.0,128.9507382382515,20.86076576745742,850.1884959942911
115.0,128.5543973461308,19.96121221940448,851.4843904344647
116.0,128.17629884731465,19.09933378508689,852.7243673675983
117.0,127.81557677036086,18.273651291710777,853.9107719379283
118.0,127.47140839715884,17.48273467753499,855.0458569253062
119.0,127.14301193609192,16.72520222404434,856.1317858398637
120.0,126.82964433219065,15.99971970267869,857.1706359651306
121.0,126.53059920550098,15.304999449874302,858.1644013446248
122.0,126.24520490948326,14.639799382756042,859.1149957077606
123.0,125.972822701807,14.002921966525767,860.0242553316673
124.0,125.71284502042289,13.393213143414085,860.893941836163
125.0,125.46469385827254,12.809561231990747,861.7257449097367
126.0,125.22781923044546,12.250895804653956,862.5212849649006
127.0,125.00169772800727,11.716186550234163,863.2821157217586
128.0,124.78583115311451,11.204442127844997,864.0097267190405
129.0,124.57974523039034,10.714709017386303,864.7055457522233
130.0,124.38298838987403,10.246070371446073,865.3709412386798
131.0,124.19513061716789,9.79764487275285,866.0072245100793
132.0,124.0157623666988,9.368585600792443,866.6156520325088
133.0,123.84449353428087,8.958078910718502,867.1974275550006
134.0,123.680952485418,8.565343327249664,867.7537041873323
135.0,123.52478513601902,8.189628455853528,868.2855864081274
136.0,123.3756540824175,7.830213913165203,868.7941320044173
137.0,123.23323777778876,7.486408278271931,869.2803539439394
138.0,123.09722975224703,7.1575480662124225,869.7452221815406
139.0,122.96733787407977,6.842996724786653,870.1896654011335
140.0,122.84328364974037,6.5421436555464645,870.6145726947132
141.0,122.7248015603711,6.2544032596365975,871.0207951799923
142.0,122.61163843277127,5.979214008977788,871.4091475582509
143.0,122.50355284285494,5.716037543125774,871.7804096140193
144.0,122.40031454976716,5.46435779200082,872.135327658232
145.0,122.3017039589407,5.223680124559876,872.4746159164995
146.0,122.20751161248157,4.993530523375896,872.7989578641425
147.0,122.11753770537226,4.773454784995135,873.1090075096326
148.0,122.03159162607088,4.563017745861461,873.4053906280676
149.0,121.94949152017543,4.361802533526323,873.6887059462982
150.0,121.87106387589742,4.16940984280227,873.9595262813003
151.0,121.79614313016967,3.985457236466231,874.2183996333641
152.0,121.72457129427778,3.809578470075112,874.465850235647
153.0,121.65619759797578,3.6414228404196085,874.7023795616046
154.0,121.59087815110242,3.480654557112067,874.9284672917855
155.0,121.52847562177685,3.326952136779729,875.1445722414435
156.0,121.46885893030145,3.1800078193153762,875.3511332503832
157.0,121.41190295795329,3.0395270056225625,875.548570036424
158.0,121.35748826989008,2.9052277162817934,875.7372840138282
159.0,121.30550085144243,2.776840070556736,875.9176590780008
160.0,121.25583185710325,2.6541057851554415,876.0900623577413
161.0,121.20837737156573,2.536777692160131,876.2548449362743
162.0,121.1630381821972,2.4246192755401497,876.4123425422626
163.0,121.11971956236809,2.317404225665789,876.5628762119661
164.0,121.07833106508946,2.214916011245661,876.7067529236649
165.0,121.03878632644235,2.1169474681168086,876.8442662054408
166.0,121.00100287830868,2.023300404324626,876.9756967173668
167.0,120.96490196994081,1.9337852209386805,877.1013128091206
